Player,Team,Position,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,
Tyler Perkins,PENN,SG,29,29.8,13.7,4.6,11.8,0.391,1.8,5.2,0.347,2.7,3.5,0.765,1.5,3.8,5.3,1.9,1.4,0.1,1.8,2.2,
Cliff Davis,NSU,SG,31,31.4,13.7,4.6,11.5,0.399,3,7.6,0.392,1.5,1.8,0.842,0.8,2.8,3.6,1.7,1,0.1,1.3,1.8,
Ray'Sean Taylor,SIUE,SG,33,30.7,13.6,4.6,11.9,0.384,2.5,6.7,0.367,2,2.5,0.805,0.7,2.9,3.6,2.8,1.2,0.1,2.6,2.4,
Gabe Madsen,U of U,SG,37,32.6,13.6,4.8,11,0.436,2.8,7.4,0.386,1.2,1.6,0.721,0.3,3.5,3.9,2.5,1.3,0.1,2,1.6,
Noel Coleman,HAW,SG,34,32.6,13.6,4.5,10.1,0.449,1.9,5.3,0.354,2.6,3.2,0.818,0.3,3.1,3.4,1.4,1.2,0.2,1.5,1.5,
Tre Jackson,WCU,SG,32,33.3,13.6,4.7,12.1,0.39,3,8.2,0.37,1.1,1.3,0.833,0.3,2.6,3,1.8,1,0,1.3,1.8,
Marcus Dockery,HWRD,SG,35,34,13.5,4.5,10.6,0.422,2.7,6.7,0.406,1.9,2.3,0.823,0.8,2.5,3.3,1.8,0.9,0.1,2.1,1.2,
Ethan Taylor,AF,SG,31,36.8,13.5,4.5,12,0.378,2.7,7.6,0.357,1.7,2.1,0.815,0.5,3.5,4,2.7,1.2,0.4,1.9,2.2,
D.J. Davis,BTLR,SG,33,29.5,13.5,4.3,10,0.429,2,5.8,0.351,2.9,3,0.95,0.3,2.9,3.2,2.6,1.1,0.1,1.6,1.8,
"Roddy Gayle, Jr.",OSU,SG,36,30.9,13.5,4.7,10.4,0.449,0.8,2.9,0.282,3.3,4,0.832,1,3.6,4.6,3.1,0.8,0.2,2.4,2.1,
Jonathan Cisse,TEXSO,SG,32,29.2,13.5,4.3,10.5,0.412,1.6,4.2,0.378,3.3,4,0.827,0.7,2.7,3.4,2.8,0.9,0.1,1.5,0.8,
Wayne McKinney III,SAND,SG,32,30.1,13.5,4.5,10.7,0.419,0.8,2.5,0.342,3.7,5,0.744,0.8,2.8,3.6,2.9,1.3,0.2,2.1,2.4,
Kaden Metheny,LBRTY,SG,32,32,13.4,4.8,10.5,0.452,2.7,6.6,0.412,1.2,1.8,0.684,0.4,2.9,3.4,2.7,0.8,0.1,1.9,1.4,
Josh Corbin,RMU,SG,29,33.6,13.4,4.1,10.9,0.375,3,8.3,0.363,2.2,2.6,0.853,0.4,2.7,3.1,3.2,0.5,0,1.9,1.4,
Cam Gregory,STFPA,SG,19,32.7,13.4,5,11.5,0.436,1.5,4.3,0.354,1.8,2.5,0.729,0.7,2.2,2.9,2.7,1.2,0.4,2.6,2.1,
Aaron Estrada,UA,SG,37,30.9,13.4,5.3,11.9,0.449,1.4,4.3,0.313,1.4,1.6,0.847,1.6,3.8,5.4,4.6,1.6,0.2,2.3,2,
Siem Uijtendaal,CAN,SG,23,32.5,13.3,4.5,11.2,0.405,2,5.2,0.383,2.3,2.7,0.841,0.3,3.1,3.4,2.1,1.5,0.3,2.6,1.5,
Shereef Mitchell,OHIO,SG,32,29.9,13.3,4.9,10.5,0.47,1.1,3.3,0.327,2.4,3.3,0.731,1.1,3.2,4.2,2.4,1.4,0.2,1.4,2.4,
Javaunte Hawkins,FIU,SG,33,26.8,13.3,4.5,11.2,0.398,2.7,6.9,0.384,1.8,2.2,0.806,0.3,1.8,2.2,2.3,1.2,0,1.5,1.6,
J.J. Starling,SYRA,SG,32,34.4,13.3,5.3,11.7,0.458,1.4,4.3,0.324,1.3,1.8,0.714,0.6,2.6,3.2,1.9,0.8,0.2,1.7,1.3,
Skyy Clark,LVILL,SG,29,31.9,13.2,4.4,10.6,0.412,1.6,4.6,0.353,2.9,3.7,0.776,0.3,2.8,3.1,3,1,0.1,3,2.4,
"Jeremiah Gambrell, Jr.",ALCST,SG,30,27,13.2,4.4,9.7,0.449,2.5,5.9,0.426,2,2.5,0.8,0.3,2.2,2.4,0.8,1.1,0.2,0.8,1.1,
Connor Kochera,DAV,SG,32,29.3,13.2,4.8,9.8,0.492,1.6,4.3,0.362,2,2.5,0.778,0.7,3.6,4.3,0.9,1,0,1.1,0.9,
Joe Bamisile,VCU,SG,28,23.2,13.1,4.4,10.5,0.423,2.3,6.2,0.37,2,2.6,0.743,0.5,3,3.4,0.6,0.8,0.6,1.1,1.3,
Alijah Martin,FAU,SG,34,30.6,13.1,4.5,10.9,0.414,2.1,6.1,0.338,1.9,2.6,0.75,1.5,4.4,5.9,1.6,1.6,0.3,1.4,2.1,
Kintavious Dozier,GRAMB,SG,36,26.5,13,4.5,10,0.446,1,3.2,0.322,3,4,0.762,0.7,2.3,3,1,1,0.2,1.6,0.9,
Jamal Shead,U of H,SG,37,31.1,12.9,4.8,11.7,0.409,1.2,3.8,0.309,2.2,2.8,0.779,0.9,2.8,3.7,6.3,2.2,0.5,2,2,
DaJuan Gordon,UTA,SG,33,30.7,12.9,4.3,9.4,0.458,1.2,3.7,0.314,3.2,4.2,0.754,2,6.2,8.2,2.5,1.8,0.3,3,3,
Latrell Jossell,SFA,SG,30,27.5,12.9,3.9,9.5,0.406,1.7,4.6,0.374,3.4,4.1,0.831,0.4,1.6,2,2.3,1.6,0.2,2.3,2.3,
Jordan Mason,TXST,SG,29,30.9,12.9,4.6,12,0.385,0.6,2.1,0.295,3,3.8,0.793,0.7,2.9,3.6,2.8,1.3,0.3,2.4,2.1,
Dylan Andrews,UCLA,SG,32,35.1,12.9,4.8,12.1,0.395,1.5,4.5,0.324,1.8,2.3,0.808,0.4,1.8,2.2,3.7,0.8,0.1,1.9,1.8,
Chase Hunter,CLEM,SG,36,32.8,12.9,4.4,10.5,0.424,1.3,4.2,0.311,2.7,3.1,0.85,0.5,2.1,2.6,3.2,0.7,0.3,1.8,1.8,
Rahsool Diggins,UMass,SG,31,30.6,12.8,4.4,10.8,0.402,2.4,6.6,0.368,1.7,2.3,0.757,0.5,2,2.4,2.2,1.1,0.3,1.5,1.8,
Reyne Smith,C of C,SG,35,25.9,12.8,3.8,9.3,0.41,3.2,8.1,0.394,2,2.4,0.855,0.3,1.9,2.1,1.7,0.5,0.1,0.7,1.3,
Anthony Pritchard,CMU,SG,29,33,12.8,5,11,0.451,0.5,2,0.263,2.4,3.2,0.742,0.9,4.3,5.1,4.7,1.7,0.1,2.9,1.7,
Pelle Larsson,ARZ,SG,36,30,12.8,4.5,8.7,0.519,1.3,3,0.426,2.4,3.2,0.75,1.1,3,4.1,3.7,0.9,0.2,1.9,2.6,
Tae Williams,CLEST,SG,36,28.7,12.8,5.5,11.2,0.49,0.2,0.8,0.233,1.6,3.5,0.441,2.3,3.7,6,1.9,1.3,0.3,2,2.5,
Tyrell Jones,USA,SG,32,31.7,12.7,3.7,9.1,0.403,1.4,4.2,0.343,3.9,5.1,0.778,0.5,3.3,3.8,2,1.5,0.1,2.1,1.7,
Tyran Cook,VMI,SG,32,28.5,12.7,5,12.1,0.41,1.1,3.3,0.34,1.6,2.3,0.68,0.7,2.1,2.8,2.4,0.6,0.1,2.5,1.1,
Justin Hohn,UCI,SG,34,27.2,12.6,4.6,10.1,0.449,1.8,4.8,0.377,1.7,2.5,0.674,0.2,2.7,2.9,1.5,0.9,0,1.4,1.5,
